,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.25,0.21,0.18,0.18,0.17
s_2,0.25,0.0,0.2,0.21,0.17,0.17
s_3,0.21,0.21,0.0,0.21,0.23,0.14
s_4,0.16,0.24,0.24,0.0,0.21,0.16
s_5,0.17,0.17,0.26,0.19,0.0,0.2
s_6,0.16,0.22,0.18,0.21,0.22,0.0
