,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.21,0.27,0.22,0.17,0.14
s_2,0.26,0.0,0.2,0.28,0.13,0.14
s_3,0.19,0.17,0.0,0.31,0.23,0.1
s_4,0.17,0.25,0.29,0.0,0.14,0.15
s_5,0.17,0.12,0.33,0.25,0.0,0.12
s_6,0.14,0.25,0.26,0.19,0.16,0.0
