,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.12,0.19,0.41,0.16,0.13
s_2,0.1,0.0,0.15,0.4,0.1,0.25
s_3,0.11,0.08,0.0,0.35,0.27,0.19
s_4,0.11,0.16,0.27,0.0,0.19,0.27
s_5,0.11,0.09,0.25,0.31,0.0,0.24
s_6,0.12,0.14,0.15,0.43,0.16,0.0
