,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.21,0.13,0.32,0.15,0.18
s_2,0.13,0.0,0.13,0.35,0.14,0.26
s_3,0.14,0.14,0.0,0.32,0.24,0.16
s_4,0.18,0.18,0.22,0.0,0.19,0.24
s_5,0.16,0.19,0.2,0.27,0.0,0.19
s_6,0.18,0.18,0.19,0.24,0.21,0.0
