,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.22,0.29,0.17,0.17,0.15
s_2,0.19,0.0,0.21,0.3,0.15,0.15
s_3,0.22,0.16,0.0,0.27,0.23,0.12
s_4,0.12,0.24,0.29,0.0,0.16,0.19
s_5,0.14,0.14,0.32,0.21,0.0,0.19
s_6,0.13,0.18,0.2,0.31,0.19,0.0
