,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.21,0.28,0.19,0.16,0.15
s_2,0.2,0.0,0.21,0.28,0.15,0.16
s_3,0.2,0.16,0.0,0.26,0.24,0.14
s_4,0.11,0.24,0.3,0.0,0.15,0.2
s_5,0.15,0.13,0.31,0.23,0.0,0.17
s_6,0.12,0.17,0.18,0.31,0.21,0.0
