,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.23,0.25,0.2,0.19,0.13
s_2,0.26,0.0,0.19,0.27,0.13,0.15
s_3,0.19,0.18,0.0,0.3,0.21,0.12
s_4,0.15,0.27,0.3,0.0,0.15,0.12
s_5,0.12,0.13,0.41,0.22,0.0,0.12
s_6,0.12,0.36,0.18,0.19,0.15,0.0
