,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.25,0.2,0.19,0.18,0.18
s_2,0.21,0.0,0.22,0.21,0.18,0.18
s_3,0.18,0.22,0.0,0.18,0.24,0.18
s_4,0.17,0.23,0.22,0.0,0.19,0.18
s_5,0.18,0.18,0.27,0.17,0.0,0.21
s_6,0.19,0.2,0.19,0.2,0.21,0.0
