,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.22,0.24,0.22,0.17,0.15
s_2,0.21,0.0,0.2,0.29,0.14,0.16
s_3,0.19,0.18,0.0,0.28,0.23,0.12
s_4,0.14,0.27,0.3,0.0,0.15,0.14
s_5,0.14,0.14,0.33,0.26,0.0,0.13
s_6,0.14,0.25,0.21,0.22,0.19,0.0
