,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.14,0.21,0.36,0.14,0.16
s_2,0.12,0.0,0.16,0.39,0.1,0.23
s_3,0.1,0.08,0.0,0.42,0.23,0.17
s_4,0.12,0.14,0.32,0.0,0.21,0.22
s_5,0.12,0.07,0.3,0.27,0.0,0.24
s_6,0.1,0.14,0.16,0.44,0.16,0.0
