,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.22,0.13,0.34,0.16,0.15
s_2,0.16,0.0,0.14,0.37,0.13,0.2
s_3,0.15,0.12,0.0,0.27,0.27,0.19
s_4,0.14,0.24,0.17,0.0,0.22,0.24
s_5,0.15,0.14,0.28,0.25,0.0,0.19
s_6,0.14,0.2,0.17,0.31,0.17,0.0
