,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.13,0.24,0.35,0.14,0.13
s_2,0.1,0.0,0.18,0.39,0.1,0.24
s_3,0.11,0.07,0.0,0.36,0.26,0.2
s_4,0.09,0.12,0.38,0.0,0.16,0.24
s_5,0.13,0.05,0.33,0.3,0.0,0.18
s_6,0.09,0.12,0.2,0.43,0.17,0.0
