,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.24,0.25,0.2,0.18,0.13
s_2,0.21,0.0,0.21,0.28,0.15,0.17
s_3,0.22,0.17,0.0,0.25,0.23,0.13
s_4,0.13,0.26,0.32,0.0,0.15,0.15
s_5,0.14,0.15,0.34,0.21,0.0,0.17
s_6,0.13,0.21,0.21,0.26,0.18,0.0
