,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.2,0.22,0.29,0.17,0.13
s_2,0.13,0.0,0.2,0.4,0.1,0.16
s_3,0.17,0.07,0.0,0.37,0.24,0.15
s_4,0.11,0.15,0.4,0.0,0.18,0.16
s_5,0.13,0.09,0.29,0.29,0.0,0.19
s_6,0.11,0.17,0.19,0.34,0.19,0.0
