,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.21,0.21,0.2,0.2,0.17
s_2,0.2,0.0,0.21,0.21,0.2,0.19
s_3,0.19,0.2,0.0,0.22,0.2,0.19
s_4,0.17,0.23,0.23,0.0,0.18,0.19
s_5,0.19,0.2,0.19,0.22,0.0,0.2
s_6,0.28,0.18,0.19,0.18,0.17,0.0
