,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.13,0.27,0.31,0.17,0.12
s_2,0.1,0.0,0.2,0.39,0.08,0.22
s_3,0.12,0.06,0.0,0.38,0.27,0.17
s_4,0.08,0.14,0.39,0.0,0.17,0.23
s_5,0.14,0.06,0.33,0.3,0.0,0.18
s_6,0.09,0.14,0.21,0.39,0.16,0.0
