,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.24,0.27,0.19,0.19,0.12
s_2,0.25,0.0,0.19,0.27,0.14,0.13
s_3,0.18,0.22,0.0,0.23,0.26,0.11
s_4,0.12,0.28,0.26,0.0,0.2,0.14
s_5,0.16,0.16,0.32,0.19,0.0,0.18
s_6,0.12,0.21,0.21,0.21,0.25,0.0
