,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.15,0.21,0.35,0.14,0.15
s_2,0.11,0.0,0.17,0.37,0.12,0.24
s_3,0.12,0.09,0.0,0.38,0.24,0.18
s_4,0.1,0.13,0.33,0.0,0.2,0.23
s_5,0.12,0.06,0.32,0.3,0.0,0.2
s_6,0.09,0.12,0.17,0.44,0.17,0.0
