,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.22,0.25,0.24,0.18,0.11
s_2,0.26,0.0,0.19,0.28,0.13,0.13
s_3,0.16,0.18,0.0,0.34,0.23,0.09
s_4,0.17,0.25,0.29,0.0,0.15,0.14
s_5,0.16,0.12,0.33,0.26,0.0,0.13
s_6,0.12,0.3,0.23,0.18,0.17,0.0
