,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.13,0.21,0.38,0.14,0.14
s_2,0.11,0.0,0.17,0.38,0.1,0.25
s_3,0.1,0.07,0.0,0.42,0.22,0.2
s_4,0.11,0.14,0.31,0.0,0.2,0.24
s_5,0.12,0.08,0.24,0.3,0.0,0.26
s_6,0.12,0.14,0.15,0.43,0.16,0.0
