,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.16,0.17,0.3,0.17,0.21
s_2,0.16,0.0,0.13,0.37,0.15,0.2
s_3,0.15,0.14,0.0,0.34,0.2,0.17
s_4,0.19,0.16,0.28,0.0,0.21,0.16
s_5,0.19,0.17,0.22,0.24,0.0,0.19
s_6,0.16,0.21,0.17,0.28,0.17,0.0
