,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.16,0.22,0.29,0.17,0.15
s_2,0.13,0.0,0.21,0.37,0.1,0.19
s_3,0.12,0.06,0.0,0.37,0.28,0.16
s_4,0.08,0.14,0.38,0.0,0.17,0.23
s_5,0.13,0.08,0.32,0.28,0.0,0.19
s_6,0.1,0.13,0.2,0.4,0.17,0.0
