,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.19,0.23,0.29,0.18,0.12
s_2,0.11,0.0,0.19,0.42,0.11,0.17
s_3,0.15,0.08,0.0,0.35,0.25,0.17
s_4,0.09,0.16,0.38,0.0,0.17,0.2
s_5,0.12,0.08,0.3,0.32,0.0,0.18
s_6,0.1,0.17,0.18,0.38,0.16,0.0
