,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.16,0.14,0.27,0.25,0.18
s_2,0.11,0.0,0.1,0.47,0.13,0.18
s_3,0.13,0.12,0.0,0.25,0.34,0.16
s_4,0.14,0.16,0.24,0.0,0.24,0.21
s_5,0.15,0.14,0.23,0.29,0.0,0.2
s_6,0.17,0.19,0.17,0.28,0.18,0.0
