,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.24,0.25,0.2,0.17,0.14
s_2,0.2,0.0,0.22,0.29,0.14,0.16
s_3,0.21,0.17,0.0,0.25,0.23,0.14
s_4,0.12,0.26,0.32,0.0,0.15,0.15
s_5,0.16,0.15,0.33,0.2,0.0,0.17
s_6,0.14,0.2,0.22,0.25,0.19,0.0
