,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.19,0.26,0.21,0.19,0.14
s_2,0.16,0.0,0.21,0.33,0.14,0.17
s_3,0.19,0.11,0.0,0.3,0.28,0.13
s_4,0.15,0.22,0.28,0.0,0.17,0.18
s_5,0.16,0.13,0.31,0.24,0.0,0.16
s_6,0.15,0.16,0.21,0.29,0.19,0.0
