,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.26,0.26,0.18,0.18,0.11
s_2,0.25,0.0,0.22,0.27,0.14,0.13
s_3,0.18,0.23,0.0,0.23,0.26,0.11
s_4,0.13,0.25,0.3,0.0,0.18,0.14
s_5,0.15,0.14,0.33,0.22,0.0,0.16
s_6,0.12,0.22,0.21,0.21,0.25,0.0
