,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.18,0.16,0.36,0.16,0.15
s_2,0.14,0.0,0.14,0.39,0.11,0.21
s_3,0.12,0.1,0.0,0.34,0.29,0.16
s_4,0.12,0.2,0.25,0.0,0.2,0.23
s_5,0.12,0.12,0.27,0.3,0.0,0.2
s_6,0.12,0.19,0.16,0.37,0.16,0.0
