,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.2,0.24,0.21,0.18,0.17
s_2,0.18,0.0,0.21,0.3,0.14,0.17
s_3,0.18,0.13,0.0,0.28,0.27,0.14
s_4,0.15,0.2,0.25,0.0,0.22,0.18
s_5,0.16,0.14,0.29,0.22,0.0,0.19
s_6,0.17,0.16,0.2,0.27,0.2,0.0
