,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.14,0.19,0.35,0.17,0.15
s_2,0.12,0.0,0.14,0.41,0.1,0.23
s_3,0.12,0.08,0.0,0.37,0.25,0.17
s_4,0.1,0.18,0.23,0.0,0.2,0.29
s_5,0.11,0.08,0.22,0.36,0.0,0.23
s_6,0.12,0.16,0.17,0.38,0.18,0.0
