,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.19,0.25,0.26,0.18,0.13
s_2,0.13,0.0,0.21,0.4,0.11,0.15
s_3,0.16,0.08,0.0,0.31,0.3,0.15
s_4,0.11,0.15,0.39,0.0,0.19,0.16
s_5,0.12,0.11,0.32,0.27,0.0,0.18
s_6,0.12,0.16,0.2,0.32,0.2,0.0
