,e_1,e_2,e_3,e_4,e_5,e_6
s_1,0.0,0.25,0.22,0.18,0.17,0.18
s_2,0.24,0.0,0.2,0.21,0.19,0.16
s_3,0.2,0.23,0.0,0.18,0.24,0.15
s_4,0.15,0.25,0.21,0.0,0.2,0.19
s_5,0.18,0.19,0.24,0.18,0.0,0.21
s_6,0.17,0.22,0.21,0.2,0.21,0.0
